Ticker,Sektor,Syariah,MktCap,Value_MA20,ROE,ROA,NPM,CAR,NPL,EPS_5Y,DPS_5Y,FCF_5Y,PR_5Y,DY_5Y,ICR,DebtEBITDA,Median_PER_3Y,Median_PBV_3Y
DSSA,Energy,ya,311.110.499.200.000,241675375940.0,10.2,5.22,8.26,,,"[null, 0.0038123778605875236, 0.0027543032568061137, 0.0019830610584159873, 0.0014534589395238005]","[null, null, null, null, null]","[null, 1903694283.0, 724956234.0, 289562162.0, -137300202.0]","[null, null, null, null, null]","[null, null, null, null, null]",7.5,,9.290928206420297,12570.494346641131
ELSA,Energy,ya,5.765.815.000.000,16721978575.0,13.52,6.55,4.96,,,"[null, 53.361623156023555, 69.53876445990436, 98.21011290011839, 100.21766928641847]","[10.23835, 7.45, 25.9, 27.57, 39.11]","[null, 1088783000000.0, 906861000000.0, 1372291000000.0, 1241913000000.0]","[null, 0.1396, 0.3725, 0.2807, 0.3903]","[null, null, null, 0.0693, 0.0785]",12.54,,9.290928206420297,12570.494346641131
EMTK,Technology,tidak,50.676.822.473.475,17820141050.0,12.72,11.17,35.51,,,"[null, 16.618632152197847, -1.390055214201081, 3.89081668917838, 3.5534842016986086]","[null, 5.0, 5.0, 4.0, 38.0]","[null, -1458557860000.0, 166699000000.0, 837019000000.0, 1287142000000.0]","[null, 0.3009, null, 1.0281, 10.6937]","[null, null, null, 0.0086, 0.035]",68.93,,8.4983944914197,1.6911037490412628
ENRG,Energy,ya,44.788.591.425.000,98030856325.0,11.13,5.02,18.38,,,"[null, 0.0025378747154917924, 0.002662128684425773, 0.0031434825740127284, 0.003490271693395187]","[null, null, null, null, null]","[null, 50608440.0, 27904903.0, -65637626.0, 22645883.0]","[null, null, null, null, null]","[null, null, null, null, null]",5.95,,9.290928206420297,12570.494346641131
EPMT,Consumer Non-Cyclicals,ya,6.392.390.400.000,216455800.0,10.03,6.01,2.39,,,"[null, 308.8582606374865, 255.61825513598276, 277.63112694344267, 290.706683097547]","[200.0, 205.0, 205.0, 166.0, 179.0]","[null, -159680858184.0, 219603894551.0, 446443536037.0, 602263583876.0]","[null, 0.6637, 0.802, 0.5979, 0.6157]","[null, null, null, 0.0734, 0.0778]",78.07,,10.431729504905098,2.019299212056525
FORE,Consumer Non-Cyclicals,ya,8.338.665.917.450,24262123425.0,13.24,7.77,6.02,,,"[null, -6.722584749068984, 0.19583013520153914, 6.583402311006024, 10.198515945031717]","[null, null, null, null, null]","[null, 17602596047.0, -6459108036.0, 79338985584.0, 125186256168.0]","[null, null, null, null, null]","[null, null, null, null, null]",8.12,,10.431729504905098,2.019299212056525
GJTL,Consumer Cyclicals,ya,4.164.336.000.000,5878615400.0,11.89,5.74,7.04,,,"[null, -46.759815140291806, 335.61909277128575, 338.76262266670926, 340.33142151024134]","[10.0, null, null, 50.0, 50.0]","[null, -162795000000.0, 397596000000.0, 413738000000.0, -252611000000.0]","[null, null, null, 0.1476, 0.1469]","[null, null, null, 0.0467, 0.0478]",4.92,,9.975013185775808,2.217587767517111
ICBP,Consumer Non-Cyclicals,ya,79.009.426.700.000,35615731000.0,12.52,6.81,12.32,,,"[null, 393.36333299833956, 599.4363872532693, 607.0506644367285, 791.0306786848258]","[215.0, 215.0, 188.0, 200.0, 250.0]","[null, 7015618000000.0, 10591175000000.0, 10292853000000.0, 8469857000000.0]","[null, 0.5466, 0.3136, 0.3295, 0.316]","[null, null, null, 0.018, 0.0305]",7.37,,10.431729504905098,2.019299212056525
IRRA,Healthcare,ya,617.600.000.000,4739918750.0,11.34,2.69,5.96,,,"[null, 33.32253338500415, 3.447646433182161, 33.761029366824694, 43.39639210859781]","[12.0, 18.75, null, null, null]","[null, -33360457702.0, -72951755128.0, -456025238761.0, -165015571411.0]","[null, 0.5627, null, null, null]","[null, null, null, null, null]",3.18,,12.68090971743625,1.7629755962019373
ISAT,Infrastructures,ya,64.340.367.859.215,28064009450.44861,13.95,4.64,9.75,,,"[null, 31.873828110861506, 106.21369353478899, 149.5814141723707, 166.84158779549045]","[207.0325, 62.014107, 63.925, 67.1, 83.8]","[null, 5247795000000.0, 4670996000000.0, 6423483000000.0, 9095340000000.0]","[null, 1.9456, 0.6019, 0.4486, 0.5023]","[null, null, null, 0.0296, 0.0379]",2.74,,9.02931449602944,1.6837602785556607
